File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/rpt/cts.report_power,Fast,7.9668e+06,Slow,2.7000e+06,Typical,4.9689e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/rpt/placement.report_power,Fast,7.3556e+07,Slow,4.9758e+07,Typical,5.9290e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/rpt/chipfinish.report_power,Fast,9.0676e+06,Slow,2.9834e+06,Typical,5.6136e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/rpt/route.report_power,Fast,9.0637e+06,Slow,2.9826e+06,Typical,5.6117e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/rpt/floorplan.report_power,Fast,7.3919e+07,Slow,4.7029e+07,Typical,5.9314e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_631_100/VexiiRiscv_631_100_build/rpt/cts.report_power,Fast,1.4139e+06,Slow,6.6062e+05,Typical,9.3219e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_631_100/VexiiRiscv_631_100_build/rpt/placement.report_power,Fast,1.2898e+06,Slow,6.4852e+05,Typical,8.0983e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_631_100/VexiiRiscv_631_100_build/rpt/chipfinish.report_power,Fast,1.4454e+06,Slow,6.7974e+05,Typical,9.6152e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_631_100/VexiiRiscv_631_100_build/rpt/route.report_power,Fast,1.4452e+06,Slow,6.7965e+05,Typical,9.6137e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_631_100/VexiiRiscv_631_100_build/rpt/floorplan.report_power,Fast,1.5329e+06,Slow,5.2317e+05,Typical,8.2702e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/rpt/cts.report_power,Fast,7.0481e+05,Slow,3.7792e+05,Typical,5.1040e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/rpt/placement.report_power,Fast,7.4681e+05,Slow,3.8047e+05,Typical,4.6162e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/rpt/chipfinish.report_power,Fast,7.3352e+05,Slow,3.9086e+05,Typical,5.3151e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/rpt/route.report_power,Fast,7.3332e+05,Slow,3.9076e+05,Typical,5.3137e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/rpt/floorplan.report_power,Fast,6.9783e+05,Slow,2.9551e+05,Typical,4.3552e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_742_100/VexiiRiscv_742_100_build/rpt/cts.report_power,Fast,1.4249e+06,Slow,6.6965e+05,Typical,9.4438e+05
